razon_social,nombre_producto,numero_autorizacion,especies_autorizadas
"Marcas Nestle, S.A. de C.V.",Purina Pro Plan Veterinary Diets-En Gastroenteric Low Fat,A-0364-245,can
"Marcas Nestle, S.A. de C.V.",Purina Pro Plan Sensitive Skin Salmon & Arroz,A-0364-251,can
"Marcas Nestle, S.A. de C.V.",Purina Pro Plan Adult Pollo & Arroz,A-0364-252,gatos
"Marcas Nestle, S.A. de C.V.",Fancy Feast Casserole Carne,A-0364-264,sin dato
"Marcas Nestle, S.A. de C.V.",Beggin' With Bacon And Beef Flavor Dog Treat,A-0364-306,can
"Marcas Nestle, S.A. de C.V.","Purina Beyond Small Dog White Meat Chicken, Barley & Egg Recipe Natural Dog Food+Vitamins & Minerals",A-0364-309,bolsa bicapa de laminado de papel y una capa de laminado de polipropileno y bolsa tricapa de laminado de polipropileno
"Marcas Nestle, S.A. de C.V.",Purina Beyond-Simply 9 Ranch Raised Lamb & Whole Barley Recipe Natural,A-0364-310,perro
"Marcas Nestle, S.A. de C.V.",Purina Beyond-Simply 9 White Meat Chicken & Whole Barley Recipe Natural Dog Food+Vitamins & Minerals,A-0364-311,perro
"Marcas Nestle, S.A. de C.V.",Purina Fancy Feast Terrine Pollo,A-0364-319,fel
"Marcas Nestle, S.A. de C.V.","Purina Alpo T Bonz Brand Dog Snack, Bbq Pork Flavor Rib Shaped Dog Snacks",A-0364-322,can
"Marcas Nestle, S.A. de C.V.",Purina Alpo Twist-Ables,A-0364-323,can
"Marcas Nestle, S.A. de C.V.",Beggin Tick Cut Hickory Smoke Flavor Dog Treat,A-0364-324,can
"Marcas Nestle, S.A. de C.V.",Beggin Fun Size With Bacon And Cheese Flavor Dog Treat,A-0364-325,can
"Marcas Nestle, S.A. de C.V.",Purina Dentalife Dental Cat Treat Salmon Flavor,A-0364-326,fel
"Marcas Nestle, S.A. de C.V.",Purina Dentalife Dental Cat Treat Chicken Flavor,A-0364-327,fel
"Marcas Nestle, S.A. de C.V.",Purina Pro Plan Brand Cat Food Adult Liver Clear,A-0364-328,fel
"Marcas Nestle, S.A. de C.V.",Purina Pro Plan Brand Cat Food Adult Live Clear Sensitive Skin,A-0364-329,fel
"Marcas Nestle, S.A. de C.V.",Purina Pro Plan Brand Cat Food Adult Live Clear Salmon,A-0364-330,fel
"Marcas Nestle, S.A. de C.V.",Pro Plan Veterinary Diets en Gastroenteric Fórmula Canina,A-0364-342,can
"Marcas Nestle, S.A. de C.V.",Pro Plan Veterinary Diets Om Overweight Management Canine Formula,A-0364-344,can
"Marcas Nestle, S.A. de C.V.",Pro Plan Veterinary Diets Dm Dietetic Management Formula Felina,A-0364-348,fel
"Marcas Nestle, S.A. de C.V.",Purina Pro Plan Veterinary Diets Ha Hydrolyzed Fórmula Felina,A-0364-353,fel
"Marcas Nestle, S.A. de C.V.",Pro Plan Veterinary Diets Om Overweight Management,A-0364-354,fel
"Marcas Nestle, S.A. de C.V.",Purina Pro Plan Veterinary Diets-Ha Hydrolyzed Sabor a Pollo Formula Canina,A-0364-356,can
"Marcas Nestle, S.A. de C.V.",Purinafancy Fast Casserole Pescado y Atún,A-0364-357,fel
"Marcas Nestle, S.A. de C.V.","Pro Plan Veterinary Diets Drm Dermatologic Management Naturals Con Vitaminas, Minerales & Nutrientes Añadidos Fórmula Canina",A-0364-358,can
"Marcas Nestle, S.A. de C.V.",Purina Pro Plan Veterinary Supplementy – Fortiflora Canine Probiotic Suppleme,A-0364-368,can
"Marcas Nestle, S.A. de C.V.",Purina Ppvs Fortiflora Feline Probiotic Supplement,A-0364-369,sin dato
"Marcas Nestle, S.A. de C.V.",Pro Plan Veterinary Diets Nf Funcion Renal Etapa Avanzada Formula Felina,A-0364-373,sin dato
"Marcas Nestle, S.A. de C.V.",Purina Fancy Feast Petits Filets Salmón,A-0364-383,fel
"Marcas Nestle, S.A. de C.V.",Pro Plan Veterinary Diets en Gastroenteric Formula Felina,A-0364-390,fel
"Marcas Nestle, S.A. de C.V.",Fancy Feast Casserole Pollo,A-0364-396,sin dato
"Marcas Nestle, S.A. de C.V.",Purina Fancy Feast Casserole Carne,A-0364-397,sin dato
"Marcas Nestle, S.A. de C.V.",Purina Pro Plan Adult 7+ Carne & Arroz,A-0364-400,can
"Marcas Nestle, S.A. de C.V.",Pro Plan Veterinary Diets Om Savory Selects Overweight Management Feline Formula With Chicken In Sauce Cat Food,A-0364-404,fel
"Marcas Nestle, S.A. de C.V.",Fancy Feast Purée Kiss Con Filete de Pollo en Salsa Cremosa,A-0364-413,fel
"Marcas Nestle, S.A. de C.V.",Fancy Feast Purée Kiss Con Filete de Atún en Salsa Cremosa,A-0364-414,fel
"Marcas Nestle, S.A. de C.V.",Purina Felix Pate Sabor Pescado y Atun,A-0364-419,fel
"Marcas Nestle, S.A. de C.V.",Fancy Feast Gourmet Naturals Casserole de Pollo y Carne,A-0364-427,sin dato
"Marcas Nestle, S.A. de C.V.",Purina Pro Plan Veterinary Diets Dh Dental Health Brand Small Bites-Canine Formula,A-0634-206,can
"Marcas Nestle, S.A. de C.V.",Purina Pro Plan Veterinary Diets Om Overweight Management Formula Canina,A-0634-217,can
"Marcas Nestle, S.A. de C.V.",Purina Pro Plan Veterinary Diets Om Overweight Management Formula Felina,A-0634-221,fel
"Marcas Nestle, S.A. de C.V.",Purina Beggin´Strips Brand Dog Snack-Bacon Flavor Made With Real Bacon,Q-0364-304,caninos
"Marcas Nestle, S.A. de C.V.",Purina Beggin´Strips Brand Dog Snack-Bacon And Beef Flavors Made With Real Bacon,Q-0364-306,caninos
"Marcas Nestle, S.A. de C.V.",Purina Beggin´Brand Dog Snack-Littles-Bacon Flavor Made With Real Bacon,Q-0364-307,caninos
"Marcas Nestle, S.A. de C.V.",Purina Beggin´Strips Brand Dog Snack-Bacon And Cheese Flavors Made With Real Bacon,Q-0364-313,caninos
"Marcas Nestlé, S.A. de C.V.",Fancy Feast Mousse Pollo,A-0364-126,felinos
"Marcas Nestlé, S.A. de C.V.",Purina Dog Chow Adultos Con Pavo y Pollo,A-0364-135,can
"Marcas Nestlé, S.A. de C.V.",Purina Dog Chow Adultos Con Pollo,A-0364-136,can
"Marcas Nestlé, S.A. de C.V.",Purina Dog Chow Adultos Con Cordero y Arroz,A-0364-138,can
"Marcas Nestlé, S.A. de C.V.",Purina Dog Chow Adultos Con Carne,A-0364-154,can
"Marcas Nestlé, S.A. de C.V.",Purina Dog Chow Adultos Estofado Con Carne y Vegetales,A-0364-155,can
"Marcas Nestlé, S.A. de C.V.",Purina Pro Plan Veterinary Diets en Gastroenteric Low Fat Canine Formula,A-0364-158,can
"Marcas Nestlé, S.A. de C.V.",Fancy Feast Mousse Pescado y Camaron,A-0364-183,felinos
"Marcas Nestlé, S.A. de C.V.",Fancy Feast Mousse Salmón,A-0364-184,fel
"Marcas Nestlé, S.A. de C.V.",Purina Pro Plan Veterinary Diets - en Gastroenteric Fórmula Canina,A-0364-185,can
"Marcas Nestlé, S.A. de C.V.",Purina Pro Plan Veterinary Diets en Gastroenteric Fiber Balance Canine Formula,A-0364-204,can
"Marcas Nestlé, S.A. de C.V.",Purina Dentalife Activefresh Oral,A-0364-205,can
"Marcas Nestlé, S.A. de C.V.",Purina Pro Plan Veterinary Diets Nf Kidney Funcion-Canine Formula,A-0364-209,can
"Marcas Nestlé, S.A. de C.V.",Purina Pro Plan Veterinary Diets-Dh Dental Health Dormula Felina,A-0364-211,fel
"Marcas Nestlé, S.A. de C.V.",Pro Plan Veterinary Diets Nf Función Renal Etapa Inicial Fórmula Felina,A-0364-218,fel
"Marcas Nestlé, S.A. de C.V.",Pro Plan Veterinary Diets Ur Tracto Urinario Fórmula Canina,A-0364-234,can
"Marcas Nestlé, S.A. de C.V.",Purina Proplan Veterinary Diets-Ur Urinary Ox/ Canine Formula,A-0364-235,sin dato
"Marcas Nestlé, S.A. de C.V.",Purina Pro Plan Veterinary Diets-Ur Urinary Ox/St Canine Formula,A-0364-242,perros
"Marcas Nestlé, S.A. de C.V.",Purina Pro Plan Urinary Carne & Pollo,A-0364-255,fel
"Marcas Nestlé, S.A. de C.V.",Purina Dentalife Dental Dog Treats Large Dogs,A-0364-256,can
"Marcas Nestlé, S.A. de C.V.",Pro Plan Weight Management Turkey & Rice Entreé Morsels In Gravy Dog Food,A-0364-259,sin dato
"Marcas Nestlé, S.A. de C.V.",Pro Plan Weight Management Turkey & Rice Entreé Morsels In Gravy Dog Food,A-0364-259,sin dato
"Marcas Nestlé, S.A. de C.V.","Pro Plan Veterinary Diets Drm Dermatologic Management Naturals Con Vitaminas, Minerales & Nutrientes Añadidos Fórmula Canina",A-0364-261,can
"Marcas Nestlé, S.A. de C.V.",Purina Pro Plan Veterinary Diets-Nf Kidney Function Early Care-Feline Formula,A-0364-277,fel
"Marcas Nestlé, S.A. de C.V.",Pro Plan Veterinary Diets - Nf Kidney Function Advanced Care - Feline Formula,A-0364-279,fel
"Marcas Nestlé, S.A. de C.V.",Friskies Party Mix Mixed Grill Crunch Whith Chicken And Flavors Of Beef & Salmon Cat Treats,A-0364-290,fel
"Marcas Nestlé, S.A. de C.V.",Friskies Party Mix Original Crunch With Chicken And Flavors Of Liver & Turkey Cat Treats,A-0364-291,fel
"Marcas Nestlé, S.A. de C.V.",Purina Pro Plan Veterinary Diets Om Overweight Management-Feline Formula In Sauce,A-0364-293,fel
"Marcas Nestlé, S.A. de C.V.",Purina Pro Plan Veterinary Diets Nf Kidney Function - Advanced Care Feline Formula,A-0364-295,fel
"Marcas Nestlé, S.A. de C.V.",Purina Pro Plan Veterinary Diets Nf Kidney Function - Early Care Feline Formula,A-0364-296,fel
"Marcas Nestlé, S.A. de C.V.",Purina Busy Chewbone Treat Mini Dog Treats,A-0364-298,can
"Marcas Nestlé, S.A. de C.V.",Purina Busy Brand Chew Bone Treat With Beggin Dog Snack Twistd,A-0364-299,can
"Marcas Nestlé, S.A. de C.V.","Purina Alpo T Bonz Brand, Dog Snack-Chicken Flavor Drumstick Shaped Dog Snacks",A-0364-300,can
"Marcas Nestlé, S.A. de C.V.",Purina Alpo T Bonz Brand Dog Snack-Filet Mignon Flavor Steak Shaped Dog Snacks,A-0364-301,can
"Marcas Nestlé, S.A. de C.V.",Purina Alpo T Bonz Brand Dog Snack-Ribeye Falvor Steak Shaped Dog Snacks,A-0364-302,can
"Marcas Nestlé, S.A. de C.V.",Purina Beneful Brand Baked Delights Dog Snacks-Snackers,A-0364-303,can
"Marcas Nestlé, S.A. de C.V.",Purina Beggin' Strips Brand Dog Snack-Bacon Flavor Made With Real Bacon,A-0364-304,can
"Marcas Nestlé, S.A. de C.V.",Purina Beggin' Brand Dog Snack-Premium Strips,A-0364-305,can
"Marcas Nestlé, S.A. de C.V.",Purina Beggin'S Brand Snack-Littles-Bacon Flavor Made With Real Bacon,A-0364-307,can
"Marcas Nestlé, S.A. de C.V.",Purina Beneful Brand Baked Delights Dog Snacks-Hugs,A-0364-312,can
"Marcas Nestlé, S.A. de C.V.",Purina Beggin´ Strips Brand Dog Snak-Bacon And Cheese Flavors Made With Real Bacon,A-0364-313,perros adultos
"Marcas Nestlé, S.A. de C.V.",Purina Busy Chewbone Treat Meaty Middle Small Medium,A-0364-314,perros adultos
"Marcas Nestlé, S.A. de C.V.",Purina Beneful Brand Dog Food-Incredibites With Salmon,A-0364-316,can
"Marcas Nestlé, S.A. de C.V.",Purina Beneful Brand Dog Food-Incredibites With Salmon,A-0364-317,can
"Marcas Nestlé, S.A. de C.V.",Purina Beneful Brand Dog Food-Incredibites With Salmon,A-0364-318,can
"Marcas Nestlé, S.A. de C.V.",Purina Fancy Feast Terrine Pavo,A-0364-320,fel
"Marcas Nestlé, S.A. de C.V.",Pro Plan Sensitive Skin & Stomach Salmón y Arroz,A-0364-321,can
"Marcas Nestlé, S.A. de C.V.","Fancy Feast Naturals Mousse Natural de Pollo Con Vitaminas, Minerales y Nutrientes Añadidos",A-0364-331,fel
"Marcas Nestlé, S.A. de C.V.","Fancy Feast Naturals Mousse Natural de Salmón Salvaje de Alaska Con Vitaminas, Minerales y Nutrientes Añadidos",A-0364-332,fel
"Marcas Nestlé, S.A. de C.V.","Fancy Feast Naturals Mousse Natural de Trucha & Atún Con Vitaminas, Minerales y Nutrientes Añadidos",A-0364-333,fel
"Marcas Nestlé, S.A. de C.V.","Fancy Feast Naturals Petits Filets Naturals Mousse Natural de Res Con Vitaminas, Minerales y Nutrientes Añadidos",A-0364-334,fel
"Marcas Nestlé, S.A. de C.V.",Fancy Feast Naturals Mousse,A-0364-335,fel
"Marcas Nestlé, S.A. de C.V.","Fancy Feast Naturals Petits Filets Naturales de De Atún Con Vitaminas, Minerales y Nutrientes Añadidos",A-0364-336,fel
"Marcas Nestlé, S.A. de C.V.","Fancy Feast Naturals Petits Filets Naturales de Salmón Salvaje de Alaska & Camarón Con Vitaminas, Minerales y Nutrientes Añadidos",A-0364-337,fel
"Marcas Nestlé, S.A. de C.V.","Fancy Feast Naturals Petits Filets Naturales de Res Con Vitaminas, Minerales y Nutrientes Añadidos",A-0364-338,fel
"Marcas Nestlé, S.A. de C.V.",Pro Plan Veterinary Diets en Gastroenteric Fiber Balance Formula Canina,A-0364-343,can
"Marcas Nestlé, S.A. de C.V.",Pro Plan Veterinary Diets Om Overweight Management Con Pollo en Salsa Formula Canina,A-0364-359,can
"Marcas Nestlé, S.A. de C.V.",Pro Plan Veterinary Diets Ha Hydrolized Formula Canina,A-0364-360,can
"Marcas Nestlé, S.A. de C.V.",Purina Felix Paté Sabor Salmón,A-0364-378,fel
"Marcas Nestlé, S.A. de C.V.",Pro Plan Veterinary Diets en Gastroenteric Low Fat,A-0364-387,can
"Marcas Nestlé, S.A. de C.V.",Pro Plan Veterinary Diets en Gastroenteric Fórmula Canina Lata,A-0364-395,can
"Marcas Nestlé, S.A. de C.V.",Purina Pro Plan Pollo & Arroz,A-0364-398,can (cachorros)
"Marcas Nestlé, S.A. de C.V.",Purina Pro Plan Adult Pollo & Arroz,A-0364-399,can
"Marcas Nestlé, S.A. de C.V.",Pro Plan Veterinary Diets Jm Joint Mobility Fórmula Canina,A-0364-401,can
"Marcas Nestlé, S.A. de C.V.",Fancy Feast Purée Kiss Con Salmón y Atún en Salsa Cremosa,A-0364-415,fel
"Marcas Nestlé, S.A. de C.V.",Purina Felix Paté Sabor Pavo y Menudencias,A-0364-421,fel
"Marcas Nestlé, S.A. de C.V.",Pro Plan Veterinary Diets Nf Kidney Function Fórmula Canina,A-0364-422,can
"Marcas Nestlé, S.A. de C.V.",Fancyt Feast Gourmet Naturals Gatito Mousse de Pollo,A-0364-423,sin dato
"Marcas Nestlé, S.A. de C.V.",Fancy Feast Gourmet Naturals Gatito Mousse de Salmón,A-0364-424,sin dato
"Marcas Nestlé, S.A. de C.V.",Fancy Feast Gourmet Naturals Mousse de Pescado Blanco,A-0364-425,sin dato
"Marcas Nestlé, S.A. de C.V.","Fancy Feast Gourmet Naturals, Casserole Trucha",A-0364-426,sin dato
"Marcas Nestlé, S.A. de C.V.",Fancy Feast Gourmet Naturals Mousse de Pavo,A-0364-428,sin dato
"Marcas Nestlé, S.A. de C.V.",Pro Plan Veterinary Diets en Gastrointestinal Fórmula Canina,A-0364-214,can
"Marcas Nestlé, S.A.De C.V.",Pro Plan Veterinary Diets en Gastrointestinal Formula Felina,A-0364-370,sin dato
"Marcas Nestlé, S.A.De C.V.",Pro Plan Veterinary Diets Nc Neurologico Formula Canina,A-0364-371,sin dato
"Marcas Nestlé, S.A.De C.V.",Pro Plan Veterinary Diets Om Obesidad Formula Felina,A-0364-372,sin dato
"Marcas Nestle,S.A de C.V",Purina Pro Plan Veterinary Supplements Calming Care Probiotic Supplement,A-0364-294,sin dato
"Mercadeo Veterinario Siglo Xxi, S.A. de C.V.",Dinacat,A-1129-005,fel
"Mercadeo Veterinario Siglo Xxi, S.A. de C.V.",Dinapet,A-11296-001,can
"Mercadeo Veterinario Siglo Xxi, S.A. de C.V.",Dinapuppy,A-11296-002,can
"Mercadeo Veterinario Siglo Xxi, S.A. de C.V.",Dinadog,A-11296-003,can
"Mercadeo Veterinario Siglo Xxi, S.A. de C.V.",Dinacan,A-11296-004,can
"Mercadeo Veterinario Siglo Xxi, S.A. de C.V.",Dinaelite,A-11296-006,can
"Mericulter, S.A. de C.V.",Rex Natural Range Sensitive Salmón&Potato,A-10878-001,can (adultos)
"Mericulter, S.A. de C.V.",Rex Natural Range Puppy Chicken&Rice,A-10878-002,can (cachorros)
"Mericulter, S.A. de C.V.",Rex Natural Range Mini Chicken&Rice,A-10878-003,can (adultos)
"Mericulter, S.A. de C.V.",Rex Natural Range Light Chicken&Rice,A-10878-004,can (adultos)
"Mericulter, S.A. de C.V.",Rex Natural Range Kitten Chicken&Rice,A-10878-005,fel
"Mericulter, S.A. de C.V.",Rex Natural Range Grain Free Chicken&Potato,A-10878-006,can (adultos)
"Mericulter, S.A. de C.V.",Rex Natural Range Grain Free Fish,A-10878-007,can (adultos)
"Mericulter, S.A. de C.V.",Rex Natural Range Exquisite Sterilised Fresh Fish,A-10878-008,fel (esterilizados)
"Mericulter, S.A. de C.V.",Rex Nautral Range Exquisite Sterilised Chicken&Turkey,A-10878-009,fel (esterilizados)
"Mericulter, S.A. de C.V.",Rex Natrual Range Exquisite Chicken&Turkey,A-10878-010,fel (esterilizados)
"Mericulter, S.A. de C.V.",Rex Natural Range Cats Chicken&Rice,A-10878-011,fel (adultos)
"Mericulter, S.A. de C.V.",Rex Natural Range Adult Chicken&Rice,A-10878-012,can (adultos)
"Mericulter, S.A. de C.V.",Rex Natrual Range Adult Lamb&Rice,A-10878-013,can (adultos)
"Meyenberg International Group, S.A. de C.V.",Oxc-Beta Nutricion Premium,A-10423-001,"por, ave engorda"
"Mgm Nutricion Animal, S.A. de C.V.",Purecan Para Perro Adulto,A-9029-008,can
"Mgm Nutricion Animal, S.A. de C.V.",Alimento Medicado,A-9029-012,bov
"Mgm Nutricion Animal, S.A. de C.V.",Alimento Medicado,A-9029-014,bov
"Mgm Nutrición Animal, S.A. de C.V.",Aminolev 50,A-9029-002,bov (producción)
"Mgm Nutrición Animal, S.A. de C.V.",Iniciador Becerras Especial,A-9029-007,becerras en crianza
"Mgm Nutricion Animal, S.A.De C.V.",Px Micros,A-9029-009,bov
"Mgm Nutricion Animal, S.A.De C.V.",Pmx Micros Vits,A-9029-010,bov
"Mgm Nutricion Animal, S.A.De C.V.",Px Reto Ssbt,A-9029-011,bov
"Mgm Nutricion Animal, S.A.De C.V.",Micro Ganado Finalizador Cr,A-9029-013,bov
"Mgm Nutricion Animal, S.A.De C.V.",Micro Ganado Finalizador C/Zilmax,A-9029-015,bov
Miguel Angel Gutierrez Bastos,Brisk Bones,A-10686-001,can
"Minerales y Arcillas, S.A. de C.V.",Improved Milbond-Tx,A-10620-001,"por, bov lech"
"Mna de México, S. A. de C. V.",Tecnofos 4:40,A-7865-013,bov eng
"Mna de Mexico, S.A de .C.V.",Laika Premium Cachorro,A-7865-522,can
"Mna de Mexico, S.A de .C.V.",Felicette Premium,A-7865-523,fel
"Mna de Mexico, S.A. de C.V.",Engorda-14,A-7865-026,concentrado medicado para bovinos de engorda en corral
"Mna de Mexico, S.A. de C.V.",Corral Elite 50-Mr,A-7865-038,bov car
"Mna de Mexico, S.A. de C.V.",Pastomax Co-30,A-7865-039,bov carne
"Mna de Mexico, S.A. de C.V.",Pastomax-30,A-7865-040,bov carne
"Mna de Mexico, S.A. de C.V.",Corral Elite Pmc 25-F,A-7865-041,sin dato
"Mna de Mexico, S.A. de C.V.",Base Ponedora D-25,A-7865-047,sin dato
"Mna de Mexico, S.A. de C.V.",Bn Select,A-7865-501,can
"Mna de Mexico, S.A. de C.V.",Perrazo Adulto,A-7865-509,can
"Mna de Mexico, S.A. de C.V.",Perrazo Cachorro,A-7865-510,can
"Mna de Mexico, S.A. de C.V.",Laika Premium,A-7865-517,can
"Mna de México, S.A. de C.V.",Corral Elite 250-F,A-7865-001,bov (engorda en finalización)
"Mna de México, S.A. de C.V.",Corral Elite 150-Mr,A-7865-002,bov (engorda en corral)
"Mna de México, S.A. de C.V.",Corral Elite 2520-Mr,A-7865-003,bov (engorda en corral)
"Mna de México, S.A. de C.V.",Corral Elite 150-F,A-7865-004,bov (finalización)
"Mna de México, S.A. de C.V.",Corral Elite 125-F,A-7865-006,bov (engorda en finalización)
"Mna de México, S.A. de C.V.",Corral Elite 125-Mr,A-7865-007,bov (productor de carne)
"Mna de México, S.A. de C.V.",Nutriplex Mb Pl-25,A-7865-008,por
"Mna de México, S.A. de C.V.",Corral Elite 275-F,A-7865-009,bov (engorda en finalización)
"Mna de México, S.A. de C.V.",Corral Elite 275-Mr,A-7865-014,bov (engorda en corral)
"Mna de México, S.A. de C.V.",Iniciador Becerro-20,A-7865-015,bov
"Mna de México, S.A. de C.V.",Microfos 8,A-7865-019,bov
"Mna de México, S.A. de C.V.",Base Elite Pastoreo-8P,A-7865-021,bov
"Mna de México, S.A. de C.V.",Microfos 12,A-7865-022,bov
"Mna de México, S.A. de C.V.",Corral Elite 250-A,A-7865-024,bov eng
"Mna de México, S.A. de C.V.",Lact-Op-Max 20,A-7865-029,sin dato
"Mna de México, S.A. de C.V.",Tecnofos 8:30 Ld,A-7865-030,bov
"Mna de México, S.A. de C.V.",Base Elite Pastoreo 8-C,A-7865-032,bov
"Mna de México, S.A. de C.V.",Nutriplex 2,A-7865-034,por (lechones)
"Mna de México, S.A. de C.V.",Nutriplex 3,A-7865-035,por (lechones)
"Mna de México, S.A. de C.V.",Corral Elite 125-F,A-7865-050,bov (engorda en finalización)
"Mna de México, S.A. de C.V.",Corral Elite 150-F,A-7865-052,bov (finalización)
"Mna de México, S.A. de C.V.",Corral Elite 150-Mr,A-7865-053,bov (engorda en corral)
"Mna de México, S.A. de C.V.",Corral Elite 250-F,A-7865-054,bov (engorda en finalización)
"Mna de México, S.A. de C.V.",Corral Elite 2520-Mr,A-7865-055,bov (engorda en corral)
"Mna de México, S.A. de C.V.",Corral Elite 275-F,A-7865-056,bov (engorda en finalización)
"Mna de México, S.A. de C.V.",Corral Elite 275-Mr,A-7865-057,bov (engorda en corral)
"Mna de México, S.A. de C.V.",Corral Elite 250-Fv,A-7865-080,no requiere
"Mna de México, S.A. de C.V.",Corral Elite 275-Mrv,A-7865-081,no requiere
"Mna de México, S.A. de C.V.",Corral Elite 275-Fv,A-7865-083,no requiere
"Mna de México, S.A. de C.V.",Ringo Cachorro,A-7865-502,sin dato
"Mna de México, S.A. de C.V.",Bn Select,A-7865-503,can
"Mna de México, S.A. de C.V.",Ringo Cachorro Raza Pequeña,A-7865-514,sin dato
"Mna de México, S.A. de C.V.",Bn Basic,A-7865-525,can
"Mna de México, S.A. de C.V.",Sorbtec,A-7865-071,"bov dp. ovi, cap, equi, por, ave"
"Mna de México,S.A. de C.V.",Corral Elite 125-A,A-7865-005,bov car
"Mna de México,S.A. de C.V.",Corral Elite 50-A,A-7865-036,bov car
"Mna de México,S.A. de C.V.",Corral Elite 50-F,A-7865-037,bov car
Mon Specialites Sa de Cv,Sportdog Fórmula Topline,A-10972-001,can
"Mpg, S. A. de C. V.",Milkimix Cerdos Fase 3,A-0577-013,por
"Mpg, S. A. de C. V.",Cerdas Reemplazo 1,A-0577-016,por
"Mpg, S. A. de C. V.",Crecimiento Pollo Postura,A-0577-018,ave pos
"Mpg, S. A. de C. V.",Desarrollo Polla Postura,A-0577-019,ave pos
"Mpg, S. A. de C. V.",Gallo Reproductor,A-0577-020,ave reproductor
"Mpg, S. A. de C. V.",Gallina Postura Fase 1,A-0577-022,ave pos
"Mpg, S.A. de C.V.",Milkimix Fase 3,A-0577-014,por
"Mpg, S.A. de C.V.",Gallina Reproductora Fase 3,A-0577-032,ave reprod
"Multi-Alimentos Nutricionales, S.A. de C.V.",Kanan,A-10502-001,can
"Multiminerales Inyectables de México, S.A. de C.V.",Lactipro Flx Calf,A-10607-002,bov
"Multiminerales Inyectables de México, S.A. de C.V.",Lactipro Nxt,A-10607-001,bov
"Multiminerales Inyectables de México, S.A. de C.V.",Lactipro Flx Dairy,A-10607-003,bov lec
"Multiminerales Inyectables de México, S.A. de C.V.",Lactipro Flx Feedlot,A-10607-004,bov
"Multiservicios 2001, S. A. de C. V.",Grandpet Carne Fresca Minis,A-1515-105,can
"Multiservicios 2001, S.A de C.V.",Grandpet Natural Gourmet Petit,A-1515-112,can
"Multiservicios 2001, S.A de C.V.",Grandpet Natural Gourmet Grand,A-1515-113,can
"Multiservicios 2001, S.A de C.V.",Grandpet Natural Gourmet Baby,A-1515-114,can
"Multiservicios 2001, S.A. de C.V.",Beast Friend Natural Cubes,A-10167-005,can
"Multiservicios 2001, S.A. de C.V.",Beast Friend Natural Stripes,A-10167-006,can
"Multiservicios 2001, S.A. de C.V.",Beast Friend Natural Stick,A-10167-007,can
"Multiservicios 2001, S.A. de C.V.",Natural Bone,A-10167-008,can
"Multiservicios 2001, S.A. de C.V.",Grandpet Beast Friend Galletitas,A-10167-009,can
"Multiservicios 2001, S.A. de C.V.",Grandpet Mordiscos Meat Lover,A-10167-016,can
"Multiservicios 2001, S.A. de C.V.",Grandpet Mordiscos Dulce Deleite,A-10167-017,can
"Multiservicios 2001, S.A. de C.V.",Grandpet Carne Fresca Sabor Pollo/Pavo,A-10167-020,can
"Multiservicios 2001, S.A. de C.V.",Grandpet Carne Fresca Sabor Salmon/Atun,A-10167-021,fel
"Multiservicios 2001, S.A. de C.V.",Grandpet Carne Fresca Sabor Ternera/Cordero,A-10167-022,can
"Multiservicios 2001, S.A. de C.V.",Grandpet Natural Gourmet Receta Carne y Frutos del Bosque,A-10167-023,can
"Multiservicios 2001, S.A. de C.V.",Grandpet Natural Gourmet Receta Pescado a Las Finas Herbas,A-10167-024,fel
"Multiservicios 2001, S.A. de C.V.",Sustituto de Leche Natural Gourmet,A-10167-028,can
"Multiservicios 2001, S.A. de C.V.",Papilla Grandpet Natural Gourmet,A-10167-034,can
"Multiservicios 2001, S.A. de C.V.",Grandpet Treats Orejas,A-10167-035,can
"Multiservicios 2001, S.A. de C.V.",Concentrado Engorda Bovino 32% Linea Ultra,A-1515-003,bov
"Multiservicios 2001, S.A. de C.V.",Crecimiento Becerra,A-1515-023,bov
"Multiservicios 2001, S.A. de C.V.",Desarrollo Cerdos Linea Ultra,A-1515-063,cer
"Multiservicios 2001, S.A. de C.V.",Engorda Bovinos 15% Linea Ultra,A-1515-064,bov
"Multiservicios 2001, S.A. de C.V.",Grandpet Clasico Cachorro,A-1515-098,can
"Multiservicios 2001, S.A. de C.V.",Grandpet Clasico Adulto,A-1515-099,can
"Multiservicios 2001, S.A. de C.V.",Grandpet Aderezo Sabor Tocino,A-1515-103,can
"Multiservicios 2001, S.A. de C.V.",Nutrescan Basico Adulto,A-1515-115,can
"Multiservicios 2001, S.A. de C.V.",Piachere,A-1515-119,can
"Multiservicios 2001, S.A. de C.V.",Grandpet Aderezo Sabor Pollo,A-1515-125,can
"Multiservicios 2001, S.A. de C.V.",Grandpet Aderezo Sabor Atún,A-1515-132,fel
"Multiservicios 2001, S.A. de C.V.",Grandpet Aderezo Sabor Ternera,A-1515-133,can
"Multiservicios 2001, S.A. de C.V.",Super Can Max Adulto,A-1515-134,alimento balanceado seco para perros adultos
"Multiservicios 2001, S.A. de C.V.",Destete Becerros Linea Ultra,A-1515-135,alimento terminado balanceado medicado con monensina sodica para becerros (bovinos).
"Multiservicios 2001, S.A. de C.V.",Lechero 20% Altas Productoras Linea Ultra,A-1515-137,alimento terminado balanceado medicado para bovinos lecheros
"Multiservicios 2001, S.A. de C.V.",Montana Extralinea Ultra,A-1515-138,equ
