nombre_producto,empresa,uso,num_certificado_o_registro,clasificacion,fecha_registro,fecha_vigencia
Aquatec Squilla Linea 100 Sp 400,"Agribrands Purina México, S. de R.L. de C.V.",Alimento para camaarón en fase post larva del día 20 al día 28,A-253/2024-002,alimento,2024-10-21,2029-10-21
Aquatec Squilla Linea 100 Sp 600,"Agribrands Purina México, S. de R.L. de C.V.",Alimento balanceado para camarón blanco en fase post larva del día 15 al día 20,A-253/2024-003,alimento,2024-10-21,2029-10-21
Growfish Tilapia 3 Engorda 30%,"Malta Texo de México, S.A. de C.V.",Alimento balanceado para peces: Tilapia Mojarra ( Oreochromis niloticus),A-134/2024-044,alimento,2024-11-13,2029-11-13
Growfish Tilapia 2 Iniciacion 35%,"Malta Texo de México, S.A. de C.V.","Alimento completo, balanceado y formulado para cubrir los requerimientos de las tilapias durante la etapa de iniciación",A-134/2024-047,alimento,2024-11-13,2029-11-13
Growfish Trucha 3 Finalización 40%,"Malta Texo de México, S.A. de C.V.",Alimento balanceado formulado paracubrir los requerimientos de las truchas durante la etapa de finalización. Se utiliza desde que las truchas tienen 100 g de peso o 20 cm de longitud hasta su pero o talla de mercado.,A-134/2024-039,alimento,2024-11-14,2029-11-14
Growfish Tilapia Regal Engorda 32%,"Malta Texo de México, S.A. de C.V.",Alimento balanceado para tilapia,A-134/2024-036,alimento,2024-11-14,2029-11-14
Tilapia 32% Crecimiento Plus,"Campi Alimentos, S.A. de C.V.",Alimento balanceado extruido para tilapias en fase de crecimiento.,A-281/2024-016,alimento,2024-11-14,2029-11-14
Tilapia 32% Crecimiento Oxi,"Campi Alimentos, S.A. de C.V.",Alimento balanceado extruido medicado con oxitetraciclina para tilapias en fase de crecimiento,A-281/2024-017,alimento medicado,2024-11-14,2029-11-14
Winfish Zeigler 4310,"Proveedora de Insumos Acuicolas, S.A de C.V.",alimento balanceado para tilapia y bagre,A-022/2019-004,alimento,2024-11-28,2029-11-28
Winfish Zeigler 5515,"Proveedora de Insumos Acuicolas, S.A de C.V.","alimento balanceado para tilapia, bagre y trucha",A-022/2019-005,alimento,2024-11-28,2029-11-28
Probion Forte,"Vyq de México, S.A. de C.V.",Probiotico,DGSA-DSAP-CSAUA-011-(3)/2024,aditivo,2024-11-29,2029-11-29
Aquavac Strep Sa1,"Intervet Mexico, S.A. de C.V.",Vacuna inactivada para Tilapia (Oreochromis spp) contra estreptococosis causada por Streptococcus agalactiae Biotipo 1 (serotipo Ia y III),B-093/2024-002,biologico,2024-11-29,2029-11-29
Top Fish 25%,"Canis Food Nutrition, S. de R. L. de C.V.",Alimento balanceado para tilapia en etapa de engorda.,A-401/2024-001,alimento,2024-12-12,2029-12-12
Top Fish 30%,"Canis Food Nutrition, S. de R. L. de C.V.",Alimento balanceado para tilapia en etapa de engorda.,A-401/2024-002,alimento,2024-12-12,2029-12-12
Top Fish 32%,"Canis Food Nutrition, S. de R. L. de C.V.",Alimento balanceado para tilapia en etapa de engorda.,A-401/2024-003,alimento,2024-12-12,2029-12-12
Top Fish 43%,"Canis Food Nutrition, S. de R. L. de C.V.",Alimento balanceado para tilapia en etapa de engorda.,A-401/2024-004,alimento,2024-12-12,2029-12-12
Bio Fingerling,"Malta Texo de México, S.A. de C.V.","Alimento balanceado para tilapia, trucha y bagre.",A-134/2024-043,alimento,2024-12-19,2029-12-19
Growfish Trucha Salmonada 40%,"Malta Texo de México, S.A. de C.V.",Alimento balanceado para peces: Trucha y trucha arcoíris (Onchorhynchus mykiss),A-134/2024-045,alimento,2024-12-19,2029-12-19
Bactocell Aqua 10,"Lallemand México, S.A. de C.V.","Suplemento nutricional probiótico elaborado en polvo para camarones, salmónidos y tilapias.",DGSA-DSAP-CSAUA-003-(3)/2012,aditivo,2025-01-13,1930-01-13
Eonomix F,"Alimentos y Aditivos Pecuarios, S.A. de C.V.",Extractos de plantas y aminoacidos para mejorar las funciones digestivas de los animales acuáticos,DGSA-DSAP-CSAUA-001-(3)/2025,aditivo,2025-01-14,1930-01-14
Aox Aqua P,"Norel México, S.A. de C.V.",Aditivo antioxidante destinado a la fabricación de alimentos balanceados y materias primas de uso especifico en alimentación en especies acuáticas.,DGSA-DSAP-CSAUA-002-(3)2025,aditivo,2025-01-14,1930-01-14
Microbase® Apex.,"P.B. Animal Health de México, S. de R.L. de C.V.",sin dato,DGSA-DSAP-CSAUA-003-(4)/2025,sustancia quimica,2025-01-14,1930-01-14
Salmoral,"Norel México, S.A. de C.V.","Aditivo conservador que evita y reduce la presencia de enterobacterias, sin afectar cualidades del alimento o materia prima sobre el que se aplica.",DGSA-DSAP-CSAUA-001-(3)/2018.,aditivo,2025-01-31,2028-09-18
Oxynova.,"Multiservicios Berriel, S.A. de C.V.",Probiótico estabilizador de entorno en especies acuícolas.,DGSA-DSAP-CSAUA-004-(3)/2025.,aditivo,2025-01-31,2029-01-31
Antac Plus A-22 Bta Aq.,"Dresen Química, S.A.P.I. de C.V.",Aditivo antioxidante que en la proporción adecuada se aplica en los ingredientes para alimento de camarón y tilapia.,DGSA-DSAP-CSAUA-005-(3)/2025.,aditivo,2025-01-31,2029-01-31
Aquavac Strep Sa,"Intervet Mexico, S.A. de C.V.",Vacuna inactivada para Tilapia (Oreochromis spp) contra estreptococosis causada por Streptococcus agalactiae en peces de 15 a 40g,B-093/2025-001,biologico,2025-02-10,2029-02-10
Tilapia 32% Crecimiento Medicado,"Campi Alimentos, S.A. de C.V.",Alimento balanceado extruido medicado con florfenicol para tilapias en fase de crecimiento.,AM-281/2025-014,alimento medicado,2025-04-01,1930-04-01
Apicamarón Raceways 3,"Malta Texo de México, S.A. de C.V.",Alimento balanceado para camarón,A-134/2025-001,alimento,2025-06-05,1930-06-05
Aqualyso,"Adisseo de México, S.A. de C.V.",Aditivo mejorador digestivo a traves de sus funciones como emulsificante y mejorador del transporte de nutrientes a traves del epitelio intestinal.,DGSA-DSAP-CSAUA-006-(3)/2025,aditivo,2025-08-22,1930-08-22
Aox Aqua Rl,"Norel México, S.A. de C.V.",Aditivo antioxidante destinado a la fabricación de harinas y aceite de pescado de uso especifico en alimentación de especies acuaticas.,DGSA-DSAP-CSAUA-007-(3)/2025,aditivo,2025-06-06,1930-06-06
Oxidox Aqua,"Norel México, S.A. de C.V.",Aditivo antioxidante destinado a la fabricación de alimentos balanceados y materias primas de uso especifico en alimentación de especies acuáticas.,DGSA-DSAP-CSAUA-008-(3)/2025,aditivo,2025-06-06,1930-06-06
Pmx Camarón,"Malta Texo de México, S.A. de C.V.",Premezcla de micronutrientes para camarón blanco del pacifico.,DGSA-DSAP-CSAUA-009-(3)/2025,aditivo,2025-06-06,1930-06-06
Pmx Tilapia,"Malta Texo de México, S.A. de C.V.",Premezcla de micronutrientes para tilapia.,DGSA-DSAP-CSAUA-010-(3)/2025,aditivo,2025-06-06,1930-06-06
Previtep Aquamar 35%,"Premezclas y Vitaminas Tepa, S.A. de C.V.",alimento balanceado completo peletizado seco para camarón.,A-214/2015-002,alimento,2025-06-11,1930-06-11
Growfish 3205 Ff,"Malta Texo de México, S.A. de C.V.","Alimento balanceado, medicado con florfenicol, diseñado nutricionalmente para cumplir con los requerimientos de las tilapias durante la etapa de inicio de 50 a 70 gramos de peso.",AM-134/2025-004,alimento medicado,2025-06-18,1930-06-18
Bio Fingerling 40 10,"Malta Texo de México, S.A. de C.V.","Alimento balanceado, formulado para cubrir los requerimientos nutricionales de las tilapias, mojarras, truchas y bagres durante la etapa de alevinaje de 20 a 50g. de peso.",A-134/2025-003,alimento,2025-06-18,1930-06-18
Camaron 35%,"Nueva Tecnologia en Alimentación, S.A. de C.V.",Alimento balanceado para camarones a partir de 3 gramos de peso hasta la cosecha,A-253/2020-003,alimento,2025-06-19,1930-06-19
Aquatec 25 %,"Nueva Tecnologia en Alimentación, S.A. de C.V.",Alimento balanceado para camarones a partir de 10 gramos de peso hasta la cosecha,A-253/2020-005,alimento,2025-06-19,1930-06-19
Aquatec 35%,"Nueva Tecnologia en Alimentación, S.A. de C.V.",Alimento balanceado para camarones a partir de 5 gramos de peso hasta la cosecha,A-253/2020-006,alimento,2025-06-19,1930-06-19
Aquatec 40%,"Nueva Tecnologia en Alimentación, S.A. de C.V.",Alimento balanceado para camarones juveniles hasta 5 gramos de peso,A-253/2020-009,alimento,2025-06-19,1930-06-19
Aquatec Hd 35%,"Nueva Tecnologia en Alimentación, S.A. de C.V.",Alimento balanceado para camarones a partir de 5 gramos de peso hasta la cosecha,A-253/2020-008,alimento,2025-06-19,1930-06-19
Aquatec Performance 35%,"Nueva Tecnologia en Alimentación, S.A. de C.V.",Alimento balanceado para camarones a partir de 5 gramos de peso hasta la cosecha,A-253/2020-011,alimento,2025-06-19,1930-06-19
Aquatec Performance 40%,"Nueva Tecnologia en Alimentación, S.A. de C.V.",alimento balanceado para acamarones en estadios juveniles hasta 5 gramos de peso,A-253/2020-012,alimento,2025-06-19,1930-06-19
Camaron 30%,"Nueva Tecnologia en Alimentación, S.A. de C.V.",Alimento balanceado para camarones a partir de 10 gramos de peso hasta cosecha en sistemas de baja densidad,A-253/2020-002,alimento,2025-06-19,1930-06-19
Previtep Aquamar 30%,"Premezclas y Vitaminas Tepa, S.A. de C.V.",alimento balanceado completo peletizado seco para camarón. Formulado en base a los requerimientos de una etapa inicial.,A-214/2015-001,alimento,2025-06-27,1930-06-27
Antac Plus A-24 Hp Aq,"Dresen Química, S.A.P.I. de C.V.",Aditivo antioxidante que en la proporción adecuada se aplica en los ingredientes para alimento de camarón y tilapia.,DGSA-DSAP-CSAUA-012-(3)-2025,aditivo,2025-07-07,1930-07-07
Butirato de Sodio Aq,"Dresen Química, S.A.P.I. de C.V.",Aditivo alimenticio zootecnico que promueve la mejora de la digestibilidad mediante un incremento de la absorción de nutrientes a nivel intestinal.,DGSA-DSAP-CSAUA-013-(3)-2025,aditivo,2025-07-07,1930-07-07
Alevin 45%,"Campi Alimentos, S.A. de C.V.",Alimento balanceado extruido para tilapias en fase de precr¡a.,"A-273,281/2025-001",alimento,2025-07-09,1930-07-09
Tilapia Crecimiento 32%,"Campi Alimentos, S.A. de C.V.",Alimento balanceado extruido para tilapias en fase de crecimiento.,"A-273,281/2025-002",alimento,2025-07-09,1930-07-09
Tilapia Crecimiento 35%,"Campi Alimentos, S.A. de C.V.",Alimento balanceado extruido para tilapias en fase de crecimiento.,"A-273,281/2025-003",alimento,2025-07-09,1930-07-09
Tilapia Engorda 25%,"Campi Alimentos, S.A. de C.V.",Alimento balanceado extruido para tilapias en fase de engorda.,"A-273,281/2025-004",alimento,2025-07-09,1930-07-09
Novamold L80 Aq,"Dresen Química, S.A.P.I. de C.V.",Aditivo inhibidor de hongos,DGSA-DSAP-CSAUA-015-(3)-2025,aditivo,2025-07-08,1930-07-08
Antac Plus A-20 Bta Aq,"Dresen Química, S.A.P.I. de C.V.",Aditivo antioxidante,DGSA-DSAP-CSAUA-014-(3)-2025,aditivo,2025-07-08,1930-07-08
Aquavac Strep Sa-Si,"Intervet Mexico, S.A. de C.V.","para la inmunizaci¢n activa de peces de la especie Tilapia (Oreochromis spp.), para reducir la mortalidad y la enfermedad debido a la estreptococosus causada por Streptococcus agalactiae (serotipo Ib) y Streptococcus iniae.",B-093/2025-002,biologico,2025-07-17,1930-07-17
Growfish Trucha 1 Alevín 50%,"Malta Texo de México, S.A. de C.V.","Alimento completo, balanceado y formulado para cubrir los requerimientos de las truchas durante la etapa de alevín hasta que alcancen 5g. de peso",A-134/2025-005,alimento,2025-07-16,1930-07-16
Sal Plus Ultra Liquido Sin Formol Aq,"Dresen Química, S.A.P.I. de C.V.",Aditivo bactericida usado para prevenir y/o eliminar la contaminación por Salmonella spp. y otras bacterias en alimento balanceado para camarón y pez tilapia.,DGSA-DSAP-CSAUA-024-(3)/2025,aditivo,2025-07-28,1930-07-28
Sal Plus Ultra Liquido Aq,"Dresen Química, S.A.P.I. de C.V.",Aditivo bactericida usado para prevenir y/o eliminar la contaminación por Salmonella spp. y otras bacterias en alimento balanceado para camarón y pez tilapia.,DGSA-DSAP-CSAUA-025-(3)/2025,aditivo,2025-07-28,1930-07-28
Epicin Hatcheries,"Malta Texo de México, S.A. de C.V.",Tratamiento probiótico para criaderos de acuactultura.,DGSA-DSAP-CSAUA-017-(3)/2025,aditivo,2025-07-07,1930-07-07
Epicin Ponds,"Malta Texo de México, S.A. de C.V.",Tratamiento probiótico para estanques de engorda para acuacultura.,DGSA-DSAP-CSAUA-018-(3)/2025,aditivo,2025-07-07,1930-07-07
Pecflor Premix Aqua,"Pecuarius Laboratorios, S.A. de C.V.",Premezcla antbiótica bacteriostática de amplio espectro con acción sobre bacterias Gram positivas y Gram negativas que afectan a los organismos acuáticos.,DGSA-DSAP-CSAUA-019-(1)/2025,antibiotico,2025-08-13,1930-08-13
Aquaviance,"Alimentos y Adityivos Pecuarios, S.A. de C.V.",Aditivo para piensos especialmente diseñado para apoyar la salud digestiva de los animales acuáticos,DGSA-DSAP-CSAUA-011-(3)/2025,aditivo,2025-09-18,1930-09-18
Vitaminas Camarón Ary,"Trouw Nutrition México, S.A. de C.V.",Premezcla alimenticia indicada para elaborar alimento balanceado para camarones (Penaeus spp) en sus diferentes etapas de vida.,DGSA-DSAP-CSAUA-020-(3)/2025,aditivo,2025-09-18,1930-09-18
Pristine,"Importadora, Distribuidora y Exportadora Para Acuicultura Sistemática, S.A. de C.V.",Acondicionador de agua para eliminar residuos orgánicos y detritos en acuarios de agua dulce y salada.,DGSA-DSAP-CSAUA-023-(3)/2025,aditivo,2025-10-29,1930-10-29
Pecfloxin Premix Aqua,"Pecuarius Laboratorios, S.A. de C.V.","antibi¢tico de amplio espectro, est indicado para el tratamiento de enfermedades bacterianas del camar¢n causadas por microorganismos sensibles a la f¢rmula tales como Rickettsia spp. Pseudomonas spp, Vibrio spp y Aeromonas spp. Camar¢n",DGSA-DSAP-CSAUA-021-(1)/2025,antibiotico,2025-12-08,1930-12-08
Mainstanq,"Virbac Mexico, S.A. de C.V.","AditivoMicroorganismos para el equilibrio de estanques acuícolas, absorbente de amoniaco. digestor de residuos organicos, coadyuvante en el control de patógenos.",DGSA-DSAP-CSAUA-004-(3)/2020,aditivo,2025-12-08,1930-12-08
Epicin G2,"Malta Texo de México, S.A. de C.V.",Tratamiento probiótico para estanques para acuacultura.,DGSA-DSAP-CSAUA-016-(3)/2025,aditivo,2025-12-12,1930-12-12
Lomas Premium Turtles Bites Alimento Para Tortugas,"Grupo Acuario Lomas, S.A. de C.V.",alimento para tortugas de agua dulce o semiacuáticas en fase adulta,A-067/2025-001,alimento,2025-12-18,1930-12-18
Lomas Premium Tropical Slow Sinking Crumbles Alimento Para Peces Tropicales Bocados Pequeños,"Grupo Acuario Lomas, S.A. de C.V.",ALIMENTO PARA PECES TROPICALES BOCADOS PEQUEÑOS,A-067/2025-002,alimento,2025-12-18,1930-12-18
Lomas Premium Goldfish Floating Pellets Alimento Para Peces Japoneses Bocados Medianos,"Grupo Acuario Lomas, S.A. de C.V.",alimento para peces japoneses de bocado mediano,A-067/2025-003,alimento,2025-12-18,1930-12-18
Lomas Premium Reptile Sticks Alimento Para Reptiles Acuáticos,"Grupo Acuario Lomas, S.A. de C.V.",alimento para reptiles acuáticos,A-067/2025-004,alimento,2025-12-18,1930-12-18
Lomas Total Essential Nutrition Pond Stix Alimento Para Peces de Estanque,"Grupo Acuario Lomas, S.A. de C.V.",alimento para peces de estanque,A-067/2025-006,alimento,2025-12-18,1930-12-18
Lomas Premium Algae Disc Alimento Para Peces de Fondo,"Grupo Acuario Lomas, S.A. de C.V.",Alimento para peces de fondo,A-067/2025-009,alimento,2025-12-18,1930-12-18
Lomas Spirulina Boost Alimento Premium Para Peces Herbívoros,"Grupo Acuario Lomas, S.A. de C.V.",Alimento para peces hervivoros,A-067/2025-010,alimento,2025-12-18,1930-12-18
