razon_social,nombre_producto,numero_registro,especies_aprobadas_para_su_uso
"Intervet México, S.A. de C.V.",Coccivac-D2,B-0273-292,ave
"Intervet México, S.A. de C.V.",Fusion Nd Ilt,B-0273-293,ave
"Intervet México, S.A. de C.V.",Nasalgen Ip,B-0273-294,bov
"Intervet México, S.A. de C.V.",Tremvac-Fp,B-0273-295,ave
"Intervet México, S.A. de C.V.",Quantum Dappvl4,B-0273-296,can
"Intervet México, S.A. de C.V.",Nobilies Reo Inac,B-0273-297,ave
"Intervet México, S.A. de C.V.",Nobilis Reo Ib G Nd,B-0273-299,ave
"Intervet México, S.A. de C.V.",Novivac Puppy Dp Plus,B-0273-300,can
"Intervet México, S.A. de C.V.",Nobivac Feline 1 - Hcp + Felv,B-0273-301,fel
"Intervet México, S.A. de C.V.",Porcilis Lawsonia Id,B-0273-302,por
"Intervet México, S.A. de C.V.",Circumvent Cml,B-0273-304,por
"Intervet México, S.A. de C.V.",Bovilis Poli-Star + Te,B-0273-305,"bov, ovi, cap"
"Intervet México, S.A. de C.V.",Fusion Nd Ibd,B-0273-308,ave
"Intervet México, S.A. de C.V.",Bovilis L5 Sq,B-0273-310,bov
"Intervet México, S.A. de C.V.",Nobilis Influenza H5N2,B-0273-312,ave
"Intervet México, S.A. de C.V.",Fusion -Ilt-Ibd,B-0273-314,ave
"Intervet México, S.A. de C.V.",Nobilis Rhino Cv,B-0273-316,ave
"Intervet México, S.A. de C.V.",Bovilis Nasalgen 3-Pmh,B-0273-319,bov
"Intervet México, S.A. de C.V.",Bovilis Rabia,B-0273-321,"bov, ovi, cap, equ"
"Intervet México, S.A. de C.V.",Nobilis Cor4+Ib+Nd+Eds,B-0273-190,ave
"Irdenco de México, S.A. de C.V.",Biotech Vac Salmonella,B-0480-001,ave
"Lab Maver, S.A. de C.V.",Vacuna Contra la Enfermedad de Newcastle (Vurus Muerto),B-0789-001,ave
"Lab Maver, S.A. de C.V.",Bacterina Contra la Enfermedad de Coriza (Coribac),B-0789-007,ave
"Lab Maver, S.A. de C.V.",Inmunorab,B-0789-031,can
"Lab Maver, S.A. de C.V.",Derrivax,B-0789-032,"bov, ovi, cap, por, equ"
"Lab Maver, S.A. de C.V.",Inmunotec 3+ Pv,B-0789-035,can
"Lab Maver, S.A. de C.V.",Inmunotec 6,B-0789-037,can
"Lab Maver, S.A. de C.V.",Parvo Suis,B-0789-043,por
"Lab Maver, S.A. de C.V.",Rinivac+E,B-0789-044,por
"Lab Maver, S.A. de C.V.",Promune 4,B-0789-051,bov
"Lab Maver, S.A. de C.V.",Promune 3,B-0789-054,bov
"Lab Maver, S.A. de C.V.",Rinery Suis 4,B-0789-057,por
"Lab Maver, S.A. de C.V.",Rinivac,B-0789-061,por
"Lab Maver, S.A. de C.V.",Promune 5,B-0789-066,bov
"Lab Maver, S.A. de C.V.",Vacuna Contra la Viruela de Las Aves,B-0789-003,ave
"Lab Maver, S.A. de C.V.",Trai-Vac,B-0789-004,ave
"Lab Maver, S.A. de C.V.",Vacuna Contra la Enfermedd de Newcastle (V.Vivo Lasota),B-0798-005,ave
"Lab. Maver, S.A. de C.V.",Inmunotec 4,B-0789-033,can
"Lab. Maver, S.A. de C.V.",Inmunotec Pv,B-0789-036,can
"Lab. Maver, S.A. de C.V.",Inmunotec 3,B-0789-038,can
"Lab. Maver, S.A. de C.V.",Vacuna Contra la Enfermedad de Newcastle (V. Vivo Cepa B1),B-0789-002,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Newca-Mex Vacuna Emulsionada,B-0258-002,ave
"Laboratorio Avi-Mex, S.A. de C.V.",La Sota Vacuna Activa,B-0258-004,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Newca-Mex Concentrada Vacuna Emulsionada,B-0258-006,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Cori-Mex Bacterina en Caldo,B-0258-008,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Cori-Mex Bacterina Emulsionada,B-0258-009,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Colera-Mex Bacterina en Caldo,B-0258-010,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Newcastle Bronquitis Vacuna Emulsionada,B-0258-012,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Newcastle Bronquitis Eds Coriza Vacuna Emulsionada,B-0258-015,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Vaxigen K-Newh5,B-0258-021,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Newcastle Influenza Concentrada Vacuna Emulsionada,B-0258-023,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Newcastle Hepatitis 4/8 Vacuna Emulsionada,B-0258-025,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Newcastle Hepatitis 8 Vacuna Emulsionada,B-0258-026,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Hepatitis 8 Vacuna Emulsionada,B-0258-027,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Hepatitis 4/8 Vacuna Emulsionada,B-0258-028,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Vaxigen Newh5,B-0258-030,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Vaxigen Newh5,B-0258-031,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Influenza Aviar Concentrada Vacuna Emulsionada,B-0258-032,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Newcastle Bronquitis Eds Vacuna Emulsionada,B-0258-037,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Eds Vacuna Emulsionada,B-0258-038,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Mycoplasma Hyopneumoniae Bacterina Emulsionada,B-0258-039,por
"Laboratorio Avi-Mex, S.A. de C.V.",Influenza Porcina M. Hyopneumoniae Vacuna Emulsionada,B-0258-040,por
"Laboratorio Avi-Mex, S.A. de C.V.",Circovirus Porcino Vacuna Emulsionada,B-0258-041,por
"Laboratorio Avi-Mex, S.A. de C.V.",Vaxsafe Mhp,B-0258-048,por
"Laboratorio Avi-Mex, S.A. de C.V.",Vaxsafe® Ms,B-0258-060,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Vaxigen Newg5,B-0258-064,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Newcastle Influenza Vacuna Emulsionada,B-0258-066,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Influenza Aviar Vacuna Emulsionada,B-0258-067,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Innovac Ojo Azul,B-0258-070,por
"Laboratorio Avi-Mex, S.A. de C.V.",Colera Coriza Newcastle Vacuna Emulsionada,B-0258-073,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Colera-Mex Bacterina Emulsionada,B-0258-081,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Newcastle Eds Vacuna Emulsionada,B-0258-082,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Broni-Mex Vacuna Emulsionada,B-0258-084,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Newcastle Epatitis 4 Vacuna Emulsionada,B-0258-087,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Hepatitis 4 Vacuna Emulsionada,B-0258-088,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Hepatitis 4 Newcastle Concentrada Vacuna Emulsionada,B-0258-089,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Newcastle Influenza Hepatitis 4 Vacuna Emulsionada,B-0258-090,ave
"Laboratorio Avi-Mex, S.A. de C.V.",C.T.N. Vacuna en Suspensión,B-0258-097,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Viruela Aviar Vacuna Activa,B-0258-099,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Innovac Ip,B-0258-105,por
"Laboratorio Avi-Mex, S.A. de C.V.",La Sota Vacuna Activa,B-0258-106,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Vaxigen K-New H5 Concentrada,B-0258-107,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Influenza Aviar H7N3,B-0258-108,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Newcastle Influenza 2393 Concentrada Vacuna Emulsionada,B-0258-109,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Vaxigen K-New G5,B-0258-111,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Vaxigen Rnd-H5,B-0258-112,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Vaxigen Rnd-H5,B-0258-113,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Innovac Se,B-0258-117,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Vaxigen Ad H5,B-0258-119,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Vaxigen Newh7 2015,B-0258-120,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Vaxigen K-Newh7 2015,B-0258-121,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Innovac Mg,B-0258-122,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Vaxigen New-Ilt,B-0258-123,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Innovac L-Prrs,B-0258-124,por
"Laboratorio Avi-Mex, S.A. de C.V.",Vaxigen Flu-H7 2016,B-0258-125,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Vaxigen K-New H7 2016,B-0258-126,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Vaxigen Newh7 2016,B-0258-127,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Vaxigen Flu-H7 2018,B-0258-128,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Vaxigen Flu-H7 2019,B-0258-129,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Vaxigen Ad-H7 2012,B-0258-130,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Vaxigen Flu H5N8 Clade 2.3.4.4.,B-0258-131,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Vaxigen K-Prrs,B-0258-132,por
"Laboratorio Avi-Mex, S.A. de C.V.",Vaxigen Flu-H7 2019+Ndv,B-0258-133,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Innovac L-Lasota,B-0258-134,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Innovac Lasota,B-0258-135,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Circovirus Vacuna Emulsionada,B-0258-136,por
"Laboratorio Avi-Mex, S.A. de C.V.",Vaxigen L-Get,B-0258-137,por
"Laboratorio Avi-Mex, S.A. de C.V.",Vaxigen Newh7 2019,B-0258-138,ave
"Laboratorio Avi-Mex, S.A. de C.V.",Vaxigen K-Newg7,B-0258-140,ave
"Laboratorio Dzac Novis, S.A de C.V.",Inmunest,B-0127-001,can
"Laboratorios Aranda, S.A. de C.V.",Bew-Castle,B-0449-005,ave
"Laboratorios Aranda, S.A. de C.V.",Bacterina Triple,B-0449-016,"bov, ovi, cap, equ"
"Laboratorios Aranda, S.A. de C.V.",Vacuna Contra la Viruela Aviar,B-0449-025,ave
"Laboratorios Aranda, S.A. de C.V.",Cuadravac,B-0449-046,can
"Laboratorios Aranda, S.A. de C.V.",Ap-Vax Parvo,B-0449-047,can
"Laboratorios Aranda, S.A. de C.V.",Ap-Vax Rabia,B-0449-048,"can, fel"
"Laboratorios Aranda, S.A. de C.V.",Ap-Vax Puppy,B-0449-043,can
"Laboratorios Aranda, S.A. de C.V.",Ap-Vax Puppy Plus,B-0449-044,can
"Laboratorios Aranda, S.A. de C.V.",Antitoxina Tetánica,B-0449-042,"bov, equ, ovi, cap, por"
"Laboratorios Avilab, S.A. de C.V.",Avilab Newcastle Cepa Lasota,B-6792-002,ave
"Laboratorios Avilab, S.A. de C.V.",Avilab Gumboro,B-6792-003,ave
"Laboratorios Avilab, S.A. de C.V.",Avilab Bronquitis,B-6792-004,ave
"Laboratorios Avilab, S.A. de C.V.",Avilab Bronquitis Connecticut,B-6792-005,ave
"Laboratorios Avilab, S.A. de C.V.",Avilab Laringotraqueitis,B-6792-006,ave
"Laboratorios Avilab, S.A. de C.V.",Avilab Encefalomielitis,B-6792-007,ave
"Laboratorios Avilab, S.A. de C.V.",Avilab Viruela,B-6792-008,ave
"Laboratorios Avilab, S.A. de C.V.",Avilab Newcastle Emulsionada,B-6792-009,ave
"Laboratorios Avilab, S.A. de C.V.",Avilab Newcastle Bronquitis Emulsionada,B-6792-010,ave
"Laboratorios Avilab, S.A. de C.V.",Avilab Newcastle + Bronquitis,B-6792-012,ave
"Laboratorios Avilab, S.A. de C.V.",Vacuna Contra Encefalomielitis y Viruela Aviar,B-6792-013,ave
"Laboratorios Avilab, S.A. de C.V.",Avilab Bronquitis Connetuct Massachustts,B-6792-014,ave
"Laboratorios Avilab, S.A. de C.V.",Avilab Sbp Emulsionada,B-6792-015,ave
"Laboratorios Avilab, S.A. de C.V.",Triple Ncp,B-6792-016,ave
"Laboratorios Avilab, S.A. de C.V.",Coribacter,B-6792-017,ave
"Laboratorios Avilab, S.A. de C.V.",Newcor,B-6792-018,ave
"Laboratorios Avilab, S.A. de C.V.",Emultriple Nbs,B-6792-019,ave
"Laboratorios Avilab, S.A. de C.V.",Newcstle +Sbp,B-6792-020,ave
"Laboratorios Avilab, S.A. de C.V.",I.A. Plus,B-6792-022,ave
"Laboratorios Avilab, S.A. de C.V.",Newcastle Plus,B-6792-023,ave
"Laboratorios Avilab, S.A. de C.V.",Emulcor,B-6792-024,ave
"Laboratorios Avilab, S.A. de C.V.",Newcastle Plus Concentrada,B-6792-025,ave
"Laboratorios Avilab, S.A. de C.V.",I.A. Plus Concentrada,B-6792-026,ave
"Laboratorios Avilab, S.A. de C.V.",Avilab H7N3,B-6792-027,ave
"Laboratorios Avilab, S.A. de C.V.",Avilab Nc + Bi Conn Mass,B-6792-028,ave
"Laboratorios Avilab, S.A. de C.V.",Avilab Revgen H7N3,B-6792-032,ave
"Laboratorios Avilab, S.A. de C.V.",Avilab Ojo Azul,B-6792-033,por
"Laboratorios Avilab, S.A. de C.V.",I.A. Plus 15,B-6792-034,ave
"Laboratorios Avilab, S.A. de C.V.",I.A. Plus Concentrada 15,B-6792-035,ave
"Laboratorios Avilab, S.A. de C.V.",Newcastle Plus 15,B-6792-036,ave
"Laboratorios Avilab, S.A. de C.V.",Newcastle Plus Concentrada 15,B-6792-037,ave
"Laboratorios Avilab, S.A. de C.V.",Avilab Tri-Flu-Nc,B-6792-038,ave
"Laboratorios Avilab, S.A. de C.V.",Avilab Revgen Nc,B-6792-039,ave
"Laboratorios Avilab, S.A. de C.V.",Avilab Revgen 51,B-6792-040,ave
"Laboratorios Avilab, S.A. de C.V.",Avilab Revgen 521,B-6792-041,ave
"Laboratorios Avilab, S.A. de C.V.",Avilab Tri - Flu 755,B-6792-042,ave
"Laboratorios Biofarmex, S.A. de C.V.",Triple Bovina Protec,B-7935-003,"bov, ovi, capo, equ"
"Laboratorios Biofarmex, S.A. de C.V.",Fiebre Carbonosa Protec,B-7935-005,"bov, ovi, cap, por, equ"
"Laboratorios Calier de México, S.A. de C.V.",Inmodulen,B-7965-076,"bov,por, equi, can"
"Laboratorios Calier de México, S.A. de C.V.",Inmunair 17.5,B-7965-078,ave
"Laboratorios Calier de México, S.A. de C.V.",Corysep,B-7965-079,ave
"Laboratorios Calier de México, S.A. de C.V.",Layvac Triple,B-7965-080,ave
"Laboratorios Calier de México, S.A. de C.V.",Virtrevac,B-7965-081,ave
"Laboratorios Geno Vet, S.A. de C.V.",Genobac 8 Vias,B-0571-004,"bov, ovi, cap"
"Laboratorios Geno Vet, S.A. de C.V.",Genobac 7 Vias,B-0571-005,"bov, ovi, cap"
"Laboratorios Geno Vet, S.A. de C.V.",Genobac Triple Bovina,B-0571-006,"bov, ovi, cap"
"Laboratorios Geno Vet, S.A. de C.V.",Genobac Triple Aviar,B-0571-007,ave
"Laboratorios Geno Vet, S.A. de C.V.",Geno Liofilizado Viruela Aviar,B-0571-009,ave
"Laboratorios Geno Vet, S.A. de C.V.",Geno Fiebre Carbonosa,B-0571-001,"bov, ovi, cap, equ, por"
"Laboratorios Geno Vet, S.A. de C.V.",Geno Derriengue,B-0571-002,"bov, ovi, cap, equ"
"Laboratorios Geno Vet, S.A. de C.V.",Genobac 11 Vías,B-0571-003,"bov, ovi, cap"
"Laboratorios Geno Vet, S.A. de C.V.",Geno Liofilizado Necastle,B-0571-008,ave
"Laboratorios Microsules México, S.A. de C.V.",Vac-Sules Rabimic,B-0070-001,"can, fel, bov, ovi, por, equ"
"Laboratorios Microsules México, S.A. de C.V.",Vac-Sules Trivac,B-0070-002,"bov, ovi, cap"
"Laboratorios Microsules México, S.A. de C.V.",Vac-Sules Polivac,B-0070-003,"bov, ovi, cap"
"Laboratorios Norvet, S.A. de C.V.",Leptobac Nrv 10,B-7827-001,"bov, por"
"Laboratorios Norvet, S.A. de C.V.",Peek´ Cpv,B-7827-002,can
"Laboratorios Norvet, S.A. de C.V.",Peek´ N-Lepto,B-7827-003,"can, fel"
"Laboratorios Norvet, S.A. de C.V.",Peek´N-2,B-7827-004,can
"Laboratorios Norvet, S.A. de C.V.",Peek´N-Rb,B-7827-005,"can, fel"
"Laboratorios Norvet, S.A. de C.V.",Bacterina Rodeo Pasteurella,B-7827-006,"bov, ovi, cap"
"Laboratorios Norvet, S.A. de C.V.",Bacterina Doble Rodeo 2 Vías,B-7827-007,"bov, ovi, cap"
"Laboratorios Norvet, S.A. de C.V.",Rodeo 3 Vias+Somnus Bacterina Toxoide Con Pasteurella Leucotoxoide,B-7827-008,"bov, ovi, cap"
"Laboratorios Norvet, S.A. de C.V.",Bacterina Rodeo 8 Vias,B-7827-009,"bov, ovi, cap"
"Laboratorios Norvet, S.A. de C.V.",Bacterina Rodeo H. Somnus,B-7827-010,"bov, ovi, cap"
"Laboratorios Norvet, S.A. de C.V.",Rodeo Antrax,B-7827-011,"bov, equ, por, ovi, cap"
"Laboratorios Norvet, S.A. de C.V.",Derri Gan Nrv,B-7827-012,"bov, ovi, cap, equ, por"
"Laboratorios Norvet, S.A. de C.V.",Vacuna Rodeo Antrax,B-7827-013,"bov, equ, ovi, cap, por"
"Laboratorios Norvet, S.A. de C.V.",Bacterina Rodeo 1 Pmh + Hem,B-7827-016,"bov, ovi, cap"
"Laboratorios Norvet, S.A. de C.V.",Peek´ N-5,B-7827-020,can
"Laboratorios Norvet, S.A. de C.V.",Rodeo Viral 4 + Lhb Nrv,B-7827-021,bov
"Laboratorios Norvet, S.A. de C.V.",Rodeo Viral Nrv,B-7827-022,bov
"Laboratorios Norvet, S.A. de C.V.",Rodeo Viral 6+ Lab Nrv,B-7827-023,bov
"Laboratorios Norvet, S.A. de C.V.",Rodeo Viral 2 Nrv,B-7827-024,bov
"Laboratorios Norvet, S.A. de C.V.",Rodeo Viral 3 Nrv,B-7827-025,bov
"Laboratorios Norvet, S.A. de C.V.",Peek´N-Puppy,B-7827-027,can
"Laboratorios Norvet, S.A. de C.V.",Puppy Jet N3 Nrv,B-7827-028,can
"Laboratorios Norvet, S.A. de C.V.",Puppy Jet N5 Nrv,B-7827-029,can
"Laboratorios Norvet, S.A. de C.V.",Puppy Jet N2,B-7827-030,can
"Laboratorios Norvet, S.A. de C.V.",Rodeo 11 Vias,B-7827-032,"bov, ovi, cap"
"Laboratorios Norvet, S.A. de C.V.",Lepto H Bovis Nrv Leptospira Hardjo-Bovis,B-7827-017,bov
"Laboratorios Ovejero de México, S.A. de C.V.",Mastivac,B-0029-001,bov
"Laboratorios Ovejero de México, S.A. de C.V.",Inmugal V.P. Hitchner B1,B-0029-003,ave
"Laboratorios Ovejero de México, S.A. de C.V.",Taluron,B-0029-005,bov
"Laboratorios Ovejero de México, S.A. de C.V.",Entericolix,B-0029-006,por
"Laboratorios Pier, S.A. de C.V.",Bacterina Contra Coriza Infecciosa,B-0974-001,ave
"Laboratorios Pier, S.A. de C.V.",New-Pier,B-0974-002,ave
"Laboratorios Pier, S.A. de C.V.",Rabi Can,B-0974-005,"can, fel"
"Laboratorios Pier, S.A. de C.V.",Bacterina Somnus Concentrada,B-0974-006,"bov, ovi"
"Laboratorios Pier, S.A. de C.V.",Vacuna Contra Fiebre Carbonosa,B-0974-036,"bov, ovi, cap, por, equ"
"Laboratorios Pier, S.A. de C.V.",Bacterina Toxoide 8 Vías Pier,B-0974-037,"bov, ovi"
"Laboratorios Pier, S.A. de C.V.",Bacterina Toxoide 4 Vias Pier,B-0974-038,"bov, ovi"
"Laboratorios Pier, S.A. de C.V.",Bacterina Pasteurelosis Neumonica Pier,B-0974-039,"bov, ovi"
"Laboratorios Pier, S.A. de C.V.",Enterobac,B-0974-040,"bov, ovi, por"
"Laboratorios Pier, S.A. de C.V.",Bacterina Doble Pier,B-0974-041,"bov, ovi"
"Laboratorios Pier, S.A. de C.V.",Bacterina Triple Pier,B-0974-042,"bov, ovi, cap"
"Laboratorios Pier, S.A. de C.V.",Chaubac,B-0974-043,"bov, ovi"
"Laboratorios Pier, S.A. de C.V.",Polivac - Can,B-0974-052,can
"Laboratorios Pier, S.A. de C.V.",Bovilep-5,B-0974-056,bov
"Laboratorios Pier, S.A. de C.V.",Triple - Can,B-0974-044,can
"Laboratorios Pier, S.A. de C.V.",Parvo-Can,B-0974-045,can
"Laboratorios Pier, S.A. de C.V.",M. H. Bac,B-0974-048,por
"Laboratorios Pier, S.A. de C.V.",Bacterina Toxoide 8 Vias + Somnus,B-0974-053,"bov, ovi, cap"
"Laboratorios Pier, S.A. de C.V.",M.H. Parasuis,B-0974-055,por
"Laboratorios Pier, S.A. de C.V.",Pel-5,B-0974-057,por
"Laboratorios Syva, S.A. de C.V.",Rhinanvac Cerdos,B-7025-001,por
"Laboratorios Syva, S.A. de C.V.",Synparv,B-7025-003,por
"Laboratorios Syva, S.A. de C.V.",Neovac,B-7025-004,por
"Laboratorios Syva, S.A. de C.V.",Synparv Mrl,B-7025-005,por
"Laboratorios Syva, S.A. de C.V.",Coltox,B-7025-015,por
"Laboratorios Syva, S.A. de C.V.",Syva-Bax,B-7025-016,"bov, ovi, cap"
"Laboratorios Tornel, S.A. de C.V.",Leptocan,B-1069-002,"can, fel"
"Laboratorios Tornel, S.A. de C.V.",Doble Can Moquillo Hepatitis,B-1069-003,can
"Laboratorios Tornel, S.A. de C.V.",Leptos-10,B-1069-004,"bov, por"
"Laboratorios Tornel, S.A. de C.V.",Bac-Tres Golfo Bacterina - Carbon - Edema - Pasteurelosis,B-1069-005,"bov, ovi, cap"
"Laboratorios Tornel, S.A. de C.V.",Vacuna Rb51 Brucelosis Becerras,B-1069-008,bov
"Laboratorios Tornel, S.A. de C.V.",Silver-Vac Rtu,B-1069-012,"bov, ovi, cap"
"Laboratorios Tornel, S.A. de C.V.",Puppy Pet-Guard,B-1069-020,can
"Laboratorios Tornel, S.A. de C.V.",Antraxmune (Vacuna Fiebre Carbonosa) Cepa Sterne,B-1069-031,"bov, equ, ovi, cap, por"
"Laboratorios Tornel, S.A. de C.V.",Vacuna de Brucela Para Bovinos Adultos,B-1069-032,bov
"Laboratorios Tornel, S.A. de C.V.",Boviral-4,B-1069-037,bov
"Laboratorios Tornel, S.A. de C.V.",Vacuna Quadruple,B-1069-038,can
"Laboratorios Tornel, S.A. de C.V.",Rabia I / Antirrabic Pasteur,B-1069-039,"bov, can, fel"
"Laboratorios Tornel, S.A. de C.V.",Rb-51 Cabras,B-1069-041,cap
"Laboratorios Tornel, S.A. de C.V.",Vacuna Quíntuple,B-1069-047,can
"Laboratorios Tornel, S.A. de C.V.",Vacuna V.V. Parvovirus Canino,B-1069-018,can
"Laboratorios Tornel, S.A. de C.V.",Derrienfine,B-1069-007,"bov, equ, ovi, cap"
"Laboratorios Tornel, S.A. de C.V.",Vacuna Rb51 Brucelosis Vacas,B-1069-009,bov
"Laboratorios Tornel, S.A. de C.V.",Vacuna Clasica,B-1069-013,bov
"Laboratorios Tornel, S.A. de C.V.",Denkabac 8,B-1069-014,"bov, ovi, cap"
"Laboratorios Tornel, S.A. de C.V.",Denkabac Seven C,B-1069-015,"bov, ovi, cap"
"Laboratorios Tornel, S.A. de C.V.",Silvet-Vac+Hs Rtu,B-1069-016,"bov, ovi, cap"
"Laboratorios Tornel, S.A. de C.V.",Leptos-Hardjo,B-1069-017,"bov, por"
"Laboratorios Tornel, S.A. de C.V.",Denkabac 7,B-1069-021,"bov, ovi, cap"
"Laboratorios Tornel, S.A. de C.V.",Bacterina Doble Carbon-Edema,B-1069-025,bov
"Laboratorios Tornel, S.A. de C.V.",Antirrabic,B-1069-027,"can, fel"
"Laboratorios Tornel, S.A. de C.V.",Leptos,B-1069-028,"bov, por"
"Laboratorios Tornel, S.A. de C.V.",Sineumo,B-1069-034,por
"Laboratorios Tornel, S.A. de C.V.",Derrienfine Vacuna Contra el Derriengue Cepa Acatlan V-319,B-1069-040,"bov, ovi, cap, equ, por"
"Lapisa, S.A. de C.V.",Hemobac,B-2083-007,por
"Lapisa, S.A. de C.V.",Lapibac Triple Bovina,B-2083-008,"bov, ovi, cap"
"Lapisa, S.A. de C.V.",Antrax-Vax,B-2083-014,"equ, bov, por, ovi y cap"
"Lapisa, S.A. de C.V.",Porcimune Soa,B-2083-017,por
"Lapisa, S.A. de C.V.",Bovimune Single Shot,B-2083-019,"bov, ovi, cap"
"Lapisa, S.A. de C.V.",Bovimune Clostri-10,B-2083-020,"bov, ovi, cap"
"Lapisa, S.A. de C.V.",Bovimune Protector 5,B-2083-021,bov
"Lapisa, S.A. de C.V.",Bovimune Master L5,B-2083-022,bov
"Lapisa, S.A. de C.V.",Bovimune Protector L5,B-2083-023,bov
"Lapisa, S.A. de C.V.",Porcimune Influenza,B-2083-025,por
"Lapisa, S.A. de C.V.",Providean Viratec Pc,B-2083-026,can
"Lapisa, S.A. de C.V.",Providean Viratec 6 Cv,B-2083-027,can
"Lapisa, S.A. de C.V.",Providean Viratec 10 Cv - 4L,B-2083-028,can
"Lapisa, S.A. de C.V.",Providean At,B-2083-029,can
"Lapisa, S.A. de C.V.",Bovimune Ixovac,B-2083-031,bov
"Lapisa, S.A. de C.V.",Rabilap,B-2083-032,"can, fel"
"Lapisa, S.A. de C.V.",Bovimune Clostri 7 + Hs,B-2083-036,"bov, ovi, cap"
"Lapisa, S.A. de C.V.","Volvac Nd + Ib Mlv Newcastle + Bronquitis / Newcastle, la Sota + Bronchitis, Mass",B-2083-037,ave
"Lapisa, S.A. de C.V.",Volvac Ae+Fp Mlv,B-2083-038,ave
"Lapisa, S.A. de C.V.",Gallimune 302 Enc+Ib+Eds,B-2083-040,ave
"Lapisa, S.A. de C.V.",Providean Viratec Dp,B-2083-041,can
"Lapisa, S.A. de C.V.",Providean Viratec 5,B-2083-042,can
"Lapisa, S.A. de C.V.",Providean Viratec 9 (4L),B-2083-043,can
"Lapisa, S.A. de C.V.",Porcimune Circo/Myco-Advant,B-2083-045,por
"Lapisa, S.A. de C.V.",Porcimune Prrs Mlv,B-2083-046,por
"Lapisa, S.A. de C.V.",Volvac Nd Ib Mlv,B-2083-047,ave
"Lapisa, S.A. de C.V.",Volvac Ae Fp Mlv,B-2083-048,ave
"Lapisa, S.A. de C.V.",Poultrymune Influenza Fp Recombinante Mlv,B-2083-049,ave
"Lapisa, S.A. de C.V.",Poultrymune Nd + Ib + Eds Kv,B-2083-050,ave
"Lapisa, S.A. de C.V.",Poultrymune Ib Lv,B-2083-051,ave
"Lapisa, S.A. de C.V.",Poultrymune Nd Lv,B-2083-052,ave
"Lapisa, S.A. de C.V.",Poultrymune Ai + Nd Kv Concentrada,B-2083-054,ave
"Lapisa, S.A. de C.V.",Poultrymune Influenza H7N3 Kv,B-2083-056,ave
"Lapisa, S.A. de C.V.",Poultrymune Nd + Ib Kv,B-2083-055,ave
"Lapisa, S.A. de C.V.",Poultrymune Influenza Aviar H5N2 +Nd Kv,B-2083-053,ave
